,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
228,1094227.0,3126908.0,520407.0,2557079.0,903734.0,1587570.0,424724.0,865594.0
229,1094405.0,3134067.0,502758.0,2534118.0,908340.0,1592152.0,424893.0,865688.0
230,1093331.0,3140372.0,509994.0,2522243.0,908864.0,1598796.0,424655.0,865496.0
231,1093585.0,3107276.0,518503.0,2531571.0,902820.0,1581899.0,424225.0,865407.0
232,1093767.0,3141371.0,519557.0,2549637.0,901051.0,1605576.0,425540.0,865983.0
233,1093006.0,3157737.0,542641.0,2535950.0,904487.0,1593443.0,424150.0,865703.0
234,1093837.0,3139843.0,517730.0,2534015.0,904323.0,1589300.0,425037.0,865868.0
235,1093755.0,3129616.0,529162.0,2528231.0,910956.0,1599572.0,425296.0,865413.0
236,1093360.0,3114261.0,525188.0,2544883.0,901036.0,1593502.0,425251.0,865967.0
237,1094107.0,3134047.0,509628.0,2516871.0,903073.0,1592873.0,425065.0,864857.0
238,1092774.0,3142129.0,504923.0,2543539.0,910281.0,1593530.0,424874.0,865582.0
239,1093102.0,3099308.0,511331.0,2522591.0,907195.0,1595013.0,424856.0,865862.0
240,1093348.0,3118142.0,527083.0,2543059.0,893854.0,1584811.0,424938.0,866182.0
241,1094352.0,3141982.0,527713.0,2535354.0,896460.0,1586650.0,424786.0,865543.0
242,1093380.0,3126793.0,507263.0,2513101.0,909479.0,1598297.0,424895.0,865563.0
243,1093422.0,3094064.0,482747.0,2517133.0,907179.0,1595469.0,424954.0,866036.0
244,1094214.0,3123340.0,532545.0,2532699.0,904359.0,1586886.0,425123.0,865389.0
245,1093369.0,3127830.0,516355.0,2546234.0,904309.0,1582948.0,424844.0,865924.0
246,1094206.0,3128780.0,491159.0,2538978.0,903098.0,1590512.0,424838.0,865612.0
247,1093496.0,3117376.0,492188.0,2536374.0,910480.0,1596660.0,425310.0,866139.0
248,1093478.0,3133299.0,531926.0,2545404.0,907537.0,1597681.0,424930.0,865813.0
249,1094381.0,3127504.0,510665.0,2548359.0,897377.0,1587378.0,424887.0,865806.0
250,1093836.0,3125449.0,523870.0,2527916.0,906337.0,1582472.0,424921.0,865795.0
251,1094179.0,3133956.0,506629.0,2537300.0,914434.0,1597944.0,424756.0,865434.0
252,1093069.0,3136330.0,532854.0,2537231.0,906068.0,1599486.0,424645.0,865518.0
253,1094130.0,3138824.0,526640.0,2551513.0,905923.0,1591528.0,424601.0,865219.0
254,1093387.0,3146337.0,502344.0,2513911.0,894071.0,1584519.0,424769.0,865955.0
255,1093958.0,3139192.0,537303.0,2584890.0,905700.0,1587699.0,424754.0,865775.0
256,1093525.0,3151466.0,536934.0,2576374.0,911440.0,1598323.0,425055.0,865682.0
257,1094682.0,3114771.0,505429.0,2547804.0,905499.0,1589965.0,425460.0,866145.0
258,1094174.0,3136223.0,510139.0,2530709.0,901271.0,1583869.0,425273.0,866349.0
259,1093493.0,3126391.0,476127.0,2527420.0,899893.0,1585829.0,425247.0,865989.0
260,1093689.0,3112106.0,517874.0,2517050.0,895205.0,1590455.0,424603.0,866239.0
261,1094152.0,3127016.0,494010.0,2535441.0,908783.0,1586251.0,424907.0,866300.0
